,FECHA HECHO,DEPARTAMENTO,CODIGO DANE,CANTIDAD
326,2020-12-31,CASANARE,23675940000.0,278.0
327,2020-12-31,CAUCA,13791522000.0,720.0
328,2020-12-31,CESAR,13960694000.0,709.0
329,2020-12-31,CHOCO,5583663000.0,207.0
330,2020-12-31,CUNDINAMARCA,98623593000.0,6806.0
331,2020-12-31,CORDOBA,16257904000.0,703.0
332,2020-12-31,GUAINIA,3290035000.0,35.0
333,2020-12-31,LA GUAJIRA,12923700000.0,297.0
334,2020-12-31,GUAVIARE,11211338000.0,119.0
335,2020-12-31,HUILA,39765831000.0,967.0
336,2020-12-31,MAGDALENA,31295484000.0,667.0
337,2020-12-31,META,44267421000.0,886.0
338,2020-12-31,NARIÑO,38417317000.0,744.0
339,2020-12-31,NORTE DE SANTANDER,35631572000.0,674.0
340,2020-12-31,PUTUMAYO,25774241000.0,298.0
341,2020-12-31,QUINDIO,23176226000.0,369.0
342,2020-12-31,RISARALDA,47569242000.0,732.0
343,2020-12-31,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,7132022000.0,81.0
344,2020-12-31,SANTANDER,105402381000.0,1564.0
345,2020-12-31,SUCRE,30387698000.0,440.0
346,2020-12-31,TOLIMA,86162992000.0,1194.0
347,2020-12-31,VALLE DEL CAUCA,194936723000.0,2566.0
348,2020-12-31,VAUPES,2232673000.0,23.0
349,2020-12-31,VICHADA,6552574000.0,66.0
350,2021-12-31,AMAZONAS,4374516000.0,48.0
351,2021-12-31,ANTIOQUIA,19383736000.0,4303.0
352,2021-12-31,ARAUCA,14483151000.0,183.0
353,2021-12-31,ATLANTICO,9236208000.0,1203.0
354,2021-12-31,BOLIVAR,14470971000.0,1171.0
355,2021-12-31,BOYACA,12033956000.0,811.0
356,2021-12-31,CALDAS,11215628000.0,677.0
357,2021-12-31,CAQUETA,5655191000.0,334.0
358,2021-12-31,CASANARE,20770955000.0,253.0
359,2021-12-31,CAUCA,11854944000.0,638.0
360,2021-12-31,CESAR,13820452000.0,734.0
361,2021-12-31,CHOCO,5118400000.0,192.0
362,2021-12-31,CUNDINAMARCA,81932412000.0,6971.0
363,2021-12-31,CORDOBA,20356179000.0,934.0
364,2021-12-31,GUAINIA,3478037000.0,39.0
365,2021-12-31,LA GUAJIRA,10933871000.0,265.0
366,2021-12-31,GUAVIARE,10355961000.0,112.0
367,2021-12-31,HUILA,35132039000.0,902.0
368,2021-12-31,MAGDALENA,29749156000.0,682.0
369,2021-12-31,META,38930019000.0,831.0
370,2021-12-31,NARIÑO,36103075000.0,728.0
371,2021-12-31,NORTE DE SANTANDER,30971668000.0,612.0
372,2021-12-31,PUTUMAYO,24906474000.0,310.0
373,2021-12-31,QUINDIO,22860758000.0,381.0
374,2021-12-31,RISARALDA,40235514000.0,673.0
375,2021-12-31,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,6341702000.0,75.0
376,2021-12-31,SANTANDER,95164460000.0,1499.0
377,2021-12-31,SUCRE,25467978000.0,373.0
378,2021-12-31,TOLIMA,77603591000.0,1125.0
379,2021-12-31,VALLE DEL CAUCA,169958574000.0,2424.0
380,2021-12-31,VAUPES,3880360000.0,48.0
381,2021-12-31,VICHADA,3670560000.0,39.0
382,2022-12-31,AMAZONAS,728008000.0,8.0
383,2022-12-31,ANTIOQUIA,2286162000.0,477.0
384,2022-12-31,ARAUCA,1789229000.0,23.0
385,2022-12-31,ATLANTICO,761554000.0,100.0
386,2022-12-31,BOLIVAR,2168482000.0,177.0
387,2022-12-31,BOYACA,1603157000.0,108.0
388,2022-12-31,CALDAS,1298892000.0,78.0
389,2022-12-31,CAQUETA,583761000.0,32.0
390,2022-12-31,CASANARE,2297885000.0,29.0
391,2022-12-31,CAUCA,2019124000.0,110.0
392,2022-12-31,CESAR,1528547000.0,78.0
393,2022-12-31,CHOCO,737760000.0,29.0
394,2022-12-31,CUNDINAMARCA,10286469000.0,894.0
395,2022-12-31,CORDOBA,1601229000.0,70.0
396,2022-12-31,GUAINIA,188002000.0,2.0
397,2022-12-31,LA GUAJIRA,1327834000.0,30.0
398,2022-12-31,GUAVIARE,665055000.0,7.0
399,2022-12-31,HUILA,5165515000.0,135.0
400,2022-12-31,MAGDALENA,3589560000.0,79.0
401,2022-12-31,META,4917883000.0,101.0
402,2022-12-31,NARIÑO,6005857000.0,120.0
403,2022-12-31,NORTE DE SANTANDER,3310961000.0,63.0
404,2022-12-31,PUTUMAYO,2335698000.0,27.0
405,2022-12-31,QUINDIO,2275555000.0,39.0
406,2022-12-31,RISARALDA,5359133000.0,85.0
407,2022-12-31,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,1321704000.0,15.0
408,2022-12-31,SANTANDER,11056682000.0,167.0
409,2022-12-31,SUCRE,2322914000.0,35.0
410,2022-12-31,TOLIMA,7542622000.0,104.0
411,2022-12-31,VALLE DEL CAUCA,18133919000.0,250.0
412,2022-12-31,VAUPES,291668000.0,3.0
413,2022-12-31,VICHADA,696469000.0,7.0
