,DEPARTAMENTO,GRUPO ETARIO,FECHA HECHO
67,GUAINÍA,ADOLECENTES,53
68,GUAINÍA,ADOLESCENTES,16
69,GUAINÍA,ADULTOS,99
70,GUAINÍA,MENORES,137
71,GUAJIRA,ADOLECENTES,471
72,GUAJIRA,ADOLESCENTES,83
73,GUAJIRA,ADULTOS,800
74,GUAJIRA,MENORES,1539
75,GUAJIRA,NO REPORTA,2
76,GUAVIARE,ADOLECENTES,138
77,GUAVIARE,ADOLESCENTES,44
78,GUAVIARE,ADULTOS,154
79,GUAVIARE,MENORES,566
80,HUILA,ADOLECENTES,1884
81,HUILA,ADOLESCENTES,332
82,HUILA,ADULTOS,2130
83,HUILA,MENORES,6161
84,MAGDALENA,ADOLECENTES,950
85,MAGDALENA,ADOLESCENTES,220
86,MAGDALENA,ADULTOS,1600
87,MAGDALENA,MENORES,3160
88,MAGDALENA,NO REPORTADO,1
89,META,ADOLECENTES,1140
90,META,ADOLESCENTES,259
91,META,ADULTOS,2420
92,META,MENORES,4198
93,NARIÑO,ADOLECENTES,983
94,NARIÑO,ADOLESCENTES,224
95,NARIÑO,ADULTOS,3518
96,NARIÑO,MENORES,2196
97,NORTE DE SANTANDER,ADOLECENTES,927
98,NORTE DE SANTANDER,ADOLESCENTES,200
99,NORTE DE SANTANDER,ADULTOS,1631
100,NORTE DE SANTANDER,MENORES,3412
101,NORTE DE SANTANDER,NO REPORTA,3
102,PUTUMAYO,ADOLECENTES,364
103,PUTUMAYO,ADOLESCENTES,101
104,PUTUMAYO,ADULTOS,728
105,PUTUMAYO,MENORES,1117
106,QUINDÍO,ADOLECENTES,609
107,QUINDÍO,ADOLESCENTES,132
108,QUINDÍO,ADULTOS,755
109,QUINDÍO,MENORES,2049
110,RISARALDA,ADOLECENTES,1146
111,RISARALDA,ADOLESCENTES,216
112,RISARALDA,ADULTOS,1802
113,RISARALDA,MENORES,4430
114,SAN ANDRÉS,ADOLECENTES,57
115,SAN ANDRÉS,ADOLESCENTES,19
116,SAN ANDRÉS,ADULTOS,277
117,SAN ANDRÉS,MENORES,136
118,SANTANDER,ADOLECENTES,2791
119,SANTANDER,ADOLESCENTES,490
120,SANTANDER,ADULTOS,4334
121,SANTANDER,MENORES,9808
122,SUCRE,ADOLECENTES,794
123,SUCRE,ADOLESCENTES,135
124,SUCRE,ADULTOS,1160
125,SUCRE,MENORES,2622
126,SUCRE,NO REPORTA,1
127,TOLIMA,ADOLECENTES,1402
128,TOLIMA,ADOLESCENTES,383
129,TOLIMA,ADULTOS,3002
130,TOLIMA,MENORES,4354
131,TOLIMA,NO REPORTADO,2
132,VALLE,ADOLECENTES,4177
133,VALLE,ADOLESCENTES,784
134,VALLE,ADULTOS,7348
135,VALLE,MENORES,14248
136,VALLE,NO REPORTADO,1
137,VAUPÉS,ADOLECENTES,28
138,VAUPÉS,ADOLESCENTES,13
139,VAUPÉS,ADULTOS,89
140,VAUPÉS,MENORES,71
141,VICHADA,ADOLECENTES,50
142,VICHADA,ADOLESCENTES,10
143,VICHADA,ADULTOS,117
144,VICHADA,MENORES,156
